observation_id,latitude,longitude,bright_ti4,bright_ti5,frp,acq_date,acq_time,satellite,instrument,confidence,daynight,scan,track,source_type,data_mode,source_request_id,source_file,year
FIRMS-RAW-2020-0000000,28.9497,95.8085,342.15,287.67,13.56,2020-01-01,607,N20,VIIRS,n,D,0.58,0.52,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000001,27.8187,96.1029,330.79,292.77,3.99,2020-01-01,607,N20,VIIRS,n,D,0.59,0.53,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000002,27.3642,94.8961,335.0,276.95,3.55,2020-01-01,607,N20,VIIRS,n,D,0.36,0.57,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000003,11.3151,79.2176,328.04,293.3,4.35,2020-01-01,744,N20,VIIRS,n,D,0.53,0.42,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000004,12.809,75.0018,328.79,288.64,3.02,2020-01-01,744,N20,VIIRS,n,D,0.62,0.54,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000005,11.2845,78.4521,328.85,288.4,2.39,2020-01-01,744,N20,VIIRS,n,D,0.39,0.44,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000006,11.6929,76.8443,344.88,289.58,6.56,2020-01-01,744,N20,VIIRS,n,D,0.49,0.48,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000007,16.6549,73.6762,334.21,298.76,1.97,2020-01-01,745,N20,VIIRS,n,D,0.32,0.55,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000008,18.0564,81.5991,330.18,298.57,0.95,2020-01-01,745,N20,VIIRS,n,D,0.38,0.36,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000009,16.3302,80.5688,340.07,300.21,7.76,2020-01-01,745,N20,VIIRS,n,D,0.41,0.37,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000010,16.3296,80.565,338.24,297.41,7.76,2020-01-01,745,N20,VIIRS,n,D,0.41,0.37,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000011,15.5,76.5507,330.85,296.42,2.57,2020-01-01,745,N20,VIIRS,n,D,0.44,0.46,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000012,15.4901,76.5443,341.56,297.78,6.11,2020-01-01,745,N20,VIIRS,n,D,0.44,0.46,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000013,16.8784,74.5231,336.39,303.47,4.95,2020-01-01,745,N20,VIIRS,n,D,0.56,0.51,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000014,17.8396,79.8066,332.76,300.85,2.74,2020-01-01,745,N20,VIIRS,n,D,0.42,0.37,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
FIRMS-RAW-2020-0000015,18.168,81.8612,334.18,300.99,4.6,2020-01-01,745,N20,VIIRS,n,D,0.38,0.36,0,LIVE_ARCHIVE,792735,fire_archive_J1V-C2_792735.csv,2020
